"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1590.4650000156835","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","47582","0.0-2.0-0.0-1.0","dmr5","auditory","false"
"935.4099999181926","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","49021","0.0-2.0-0.0-1.1","dmr5","auditory","true"
"661.034999997355","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","50184","0.0-2.0-0.0-1.2","dmr5","auditory","true"
"661.2100000493228","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","51347","0.0-2.0-0.0-1.3","dmr5","auditory","true"
"457.9499999526888","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","52310","0.0-2.0-0.0-1.4","dmr5","auditory","true"
"552.2999999811873","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","13","53366","0.0-2.0-0.0-1.5","dmr5","auditory","false"
"464.53500003553927","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","15","54332","0.0-2.0-0.0-1.6","dmr5","auditory","false"
"814.9249999551103","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","55649","0.0-2.0-0.0-1.7","dmr5","auditory","true"
"468.38500001467764","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","56623","0.0-2.0-0.0-1.8","dmr5","auditory","true"
"775.8400000166148","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","57905","0.0-2.0-0.0-1.9","dmr5","auditory","true"
"487.42000001948327","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","58895","0.0-2.0-0.0-1.10","dmr5","auditory","true"
"320.2600000659004","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","59717","0.0-2.0-0.0-1.11","dmr5","auditory","true"
"438.35000006947666","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","60659","0.0-2.0-0.0-1.12","dmr5","auditory","true"
"625.1250000204891","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","61790","0.0-2.0-0.0-1.13","dmr5","auditory","true"
"501.3550000730902","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","62796","0.0-2.0-0.0-1.14","dmr5","auditory","true"
"856.2199999578297","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","64154","0.0-2.0-0.0-1.15","dmr5","auditory","true"
"534.4749999931082","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","171072","0.0-2.0-0.1-1.16","dmr5","auditory","true"
"466.06500004418194","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","172041","0.0-2.0-0.1-1.17","dmr5","auditory","true"
"405.27500002644956","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","172949","0.0-2.0-0.1-1.18","dmr5","auditory","true"
"523.149999906309","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","173976","0.0-2.0-0.1-1.19","dmr5","auditory","true"
"579.6150000533089","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","175059","0.0-2.0-0.1-1.20","dmr5","auditory","true"
"449.74499999079853","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","176013","0.0-2.0-0.1-1.21","dmr5","auditory","true"
"656.1350000556558","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","177175","0.0-2.0-0.1-1.22","dmr5","auditory","true"
"778.9249999914318","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","178457","0.0-2.0-0.1-1.23","dmr5","auditory","true"
"542.7800000179559","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","179505","0.0-2.0-0.1-1.24","dmr5","auditory","true"
"479.3999999528751","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","180487","0.0-2.0-0.1-1.25","dmr5","auditory","true"
"434.9550000624731","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","181426","0.0-2.0-0.1-1.26","dmr5","auditory","true"
"446.96500001009554","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","182380","0.0-2.0-0.1-1.27","dmr5","auditory","true"
"385.72999997995794","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","183272","0.0-2.0-0.1-1.28","dmr5","auditory","true"
"457.6549999183044","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","184233","0.0-2.0-0.1-1.29","dmr5","auditory","true"
"560.579999932088","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","185300","0.0-2.0-0.1-1.30","dmr5","auditory","true"
"426.86999996658415","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","186229","0.0-2.0-0.1-1.31","dmr5","auditory","true"
