"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1240.414999998393","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","52500","0.0-2.0-0.0-1.0","h0sj","auditory","true"
"544.6649999994406","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","53549","0.0-2.0-0.0-1.1","h0sj","auditory","true"
"594.7599999999511","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","54646","0.0-2.0-0.0-1.2","h0sj","auditory","true"
"607.6699999994162","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","55759","0.0-2.0-0.0-1.3","h0sj","auditory","true"
"522.0150000004651","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","56787","0.0-2.0-0.0-1.4","h0sj","auditory","true"
"463.3349999985512","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","13","57757","0.0-2.0-0.0-1.5","h0sj","auditory","true"
"344.48499999962223","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","58607","0.0-2.0-0.0-1.6","h0sj","auditory","true"
"388.6300000012852","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","59501","0.0-2.0-0.0-1.7","h0sj","auditory","true"
"942.9150000014488","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","60948","0.0-2.0-0.0-1.8","h0sj","auditory","true"
"706.1249999987922","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","21","62160","0.0-2.0-0.0-1.9","h0sj","auditory","true"
"588.2149999997637","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","63254","0.0-2.0-0.0-1.10","h0sj","auditory","true"
"326.08000000072934","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","64086","0.0-2.0-0.0-1.11","h0sj","auditory","true"
"362.5049999991461","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","64955","0.0-2.0-0.0-1.12","h0sj","auditory","true"
"286.60499999932654","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","65746","0.0-2.0-0.0-1.13","h0sj","auditory","true"
"318.90500000008615","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","66567","0.0-2.0-0.0-1.14","h0sj","auditory","true"
"303.2999999995809","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","67372","0.0-2.0-0.0-1.15","h0sj","auditory","true"
"853.7399999986519","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","70574","0.0-2.0-0.1-1.16","h0sj","auditory","false"
"1564.5750000003318","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","72645","0.0-2.0-0.1-1.17","h0sj","auditory","true"
"567.2300000005635","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","40","73716","0.0-2.0-0.1-1.18","h0sj","auditory","true"
"569.3150000006426","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","74791","0.0-2.0-0.1-1.19","h0sj","auditory","true"
"510.9650000013062","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","75805","0.0-2.0-0.1-1.20","h0sj","auditory","true"
"556.0349999996106","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","46","76863","0.0-2.0-0.1-1.21","h0sj","auditory","true"
"742.0650000003661","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","78112","0.0-2.0-0.1-1.22","h0sj","auditory","true"
"1151.174999999057","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","79767","0.0-2.0-0.1-1.23","h0sj","auditory","true"
"744.4649999997637","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","81016","0.0-2.0-0.1-1.24","h0sj","auditory","true"
"338.6850000006234","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","81861","0.0-2.0-0.1-1.25","h0sj","auditory","true"
"432.7549999998155","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","82799","0.0-2.0-0.1-1.26","h0sj","auditory","true"
"619.3700000003446","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","83924","0.0-2.0-0.1-1.27","h0sj","auditory","true"
"523.3349999998609","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","84952","0.0-2.0-0.1-1.28","h0sj","auditory","true"
"705.3999999989173","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","86160","0.0-2.0-0.1-1.29","h0sj","auditory","true"
"375.4900000003545","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","87041","0.0-2.0-0.1-1.30","h0sj","auditory","true"
"366.4150000004156","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","87913","0.0-2.0-0.1-1.31","h0sj","auditory","true"
