"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"920","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","29207","0.0-2.0-0.0-1.0","sjqj","auditory","true"
"496","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","30211","0.0-2.0-0.0-1.1","sjqj","auditory","true"
"379.00000000000364","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","7","31100","0.0-2.0-0.0-1.2","sjqj","auditory","false"
"2071.9999999999964","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","9","33683","0.0-2.0-0.0-1.3","sjqj","auditory","false"
"577","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","34769","0.0-2.0-0.0-1.4","sjqj","auditory","true"
"358","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","13","35635","0.0-2.0-0.0-1.5","sjqj","auditory","false"
"740.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","36881","0.0-2.0-0.0-1.6","sjqj","auditory","true"
"676.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","38063","0.0-2.0-0.0-1.7","sjqj","auditory","true"
"590.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","39163","0.0-2.0-0.0-1.8","sjqj","auditory","true"
"564","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","40236","0.0-2.0-0.0-1.9","sjqj","auditory","true"
"520","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","41266","0.0-2.0-0.0-1.10","sjqj","auditory","true"
"591","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","42365","0.0-2.0-0.0-1.11","sjqj","auditory","true"
"483","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","43358","0.0-2.0-0.0-1.12","sjqj","auditory","true"
"629","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","44497","0.0-2.0-0.0-1.13","sjqj","auditory","true"
"780.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","45789","0.0-2.0-0.0-1.14","sjqj","auditory","true"
"643","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","46942","0.0-2.0-0.0-1.15","sjqj","auditory","true"
"736.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","52635","0.0-2.0-0.1-1.16","sjqj","auditory","true"
"403","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","53547","0.0-2.0-0.1-1.17","sjqj","auditory","true"
"464","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","54521","0.0-2.0-0.1-1.18","sjqj","auditory","true"
"399","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","55433","0.0-2.0-0.1-1.19","sjqj","auditory","true"
"431.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","56376","0.0-2.0-0.1-1.20","sjqj","auditory","true"
"425","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","57306","0.0-2.0-0.1-1.21","sjqj","auditory","true"
"448.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","58265","0.0-2.0-0.1-1.22","sjqj","auditory","true"
"504","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","59275","0.0-2.0-0.1-1.23","sjqj","auditory","true"
"730.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","60510","0.0-2.0-0.1-1.24","sjqj","auditory","true"
"931.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","61952","0.0-2.0-0.1-1.25","sjqj","auditory","true"
"572.0000000000073","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","63030","0.0-2.0-0.1-1.26","sjqj","auditory","true"
"935","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","64470","0.0-2.0-0.1-1.27","sjqj","auditory","true"
"558.9999999999854","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","65538","0.0-2.0-0.1-1.28","sjqj","auditory","true"
"511","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","66561","0.0-2.0-0.1-1.29","sjqj","auditory","true"
"515","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","64","67582","0.0-2.0-0.1-1.30","sjqj","auditory","true"
"709","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","68797","0.0-2.0-0.1-1.31","sjqj","auditory","true"
