"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"820.6699999864213","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","4614","0.0-2.0-0.0-1.0","mnhn","auditory","true"
"727.4249999900348","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","5851","0.0-2.0-0.0-1.1","mnhn","auditory","true"
"662.6200000173412","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","7022","0.0-2.0-0.0-1.2","mnhn","auditory","true"
"685.6350000016391","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","8223","0.0-2.0-0.0-1.3","mnhn","auditory","true"
"701.8000000389293","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","9434","0.0-2.0-0.0-1.4","mnhn","auditory","true"
"698.8849999615923","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","10649","0.0-2.0-0.0-1.5","mnhn","auditory","true"
"630.7699999888428","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","11784","0.0-2.0-0.0-1.6","mnhn","auditory","true"
"618.4449999709614","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","12922","0.0-2.0-0.0-1.7","mnhn","auditory","true"
"893.6450000037439","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","14322","0.0-2.0-0.0-1.8","mnhn","auditory","true"
"664.8850000347011","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","21","15491","0.0-2.0-0.0-1.9","mnhn","auditory","false"
"744.4499999983236","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","16763","0.0-2.0-0.0-1.10","mnhn","auditory","true"
"728.3849999657832","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","17994","0.0-2.0-0.0-1.11","mnhn","auditory","true"
"941.5600000065751","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","19457","0.0-2.0-0.0-1.12","mnhn","auditory","true"
"740.7450000173412","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","20711","0.0-2.0-0.0-1.13","mnhn","auditory","true"
"1007.6850000186823","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","22227","0.0-2.0-0.0-1.14","mnhn","auditory","true"
"821.6450000181794","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","23557","0.0-2.0-0.0-1.15","mnhn","auditory","true"
"786.3050000160001","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","36","27227","0.0-2.0-0.1-1.16","mnhn","auditory","false"
"811.9799999985844","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","28551","0.0-2.0-0.1-1.17","mnhn","auditory","true"
"801.900000020396","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","29863","0.0-2.0-0.1-1.18","mnhn","auditory","true"
"757.1050000260584","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","42","31123","0.0-2.0-0.1-1.19","mnhn","auditory","true"
"627.9949999880046","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","32255","0.0-2.0-0.1-1.20","mnhn","auditory","true"
"809.3000000226311","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","33567","0.0-2.0-0.1-1.21","mnhn","auditory","true"
"665.999999968335","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","34737","0.0-2.0-0.1-1.22","mnhn","auditory","true"
"728.255000023637","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","35969","0.0-2.0-0.1-1.23","mnhn","auditory","true"
"735.5650000390597","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","37209","0.0-2.0-0.1-1.24","mnhn","auditory","true"
"727.454999985639","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","38442","0.0-2.0-0.1-1.25","mnhn","auditory","true"
"702.8549999813549","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","39650","0.0-2.0-0.1-1.26","mnhn","auditory","false"
"837.6649999991059","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","40991","0.0-2.0-0.1-1.27","mnhn","auditory","true"
"874.7950000106357","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","42369","0.0-2.0-0.1-1.28","mnhn","auditory","true"
"724.7549999738112","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","43599","0.0-2.0-0.1-1.29","mnhn","auditory","true"
"744.2649999866262","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","44847","0.0-2.0-0.1-1.30","mnhn","auditory","true"
"748.3950000023469","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","46101","0.0-2.0-0.1-1.31","mnhn","auditory","true"
