"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1021.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","65329","0.0-2.0-0.0-1.0","pjql","auditory","true"
"560.0000000000146","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","66398","0.0-2.0-0.0-1.1","pjql","auditory","true"
"482","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","67388","0.0-2.0-0.0-1.2","pjql","auditory","true"
"397","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","68293","0.0-2.0-0.0-1.3","pjql","auditory","false"
"1021","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","69823","0.0-2.0-0.0-1.4","pjql","auditory","true"
"735","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","71066","0.0-2.0-0.0-1.5","pjql","auditory","true"
"891","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","72461","0.0-2.0-0.0-1.6","pjql","auditory","true"
"469","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","73438","0.0-2.0-0.0-1.7","pjql","auditory","true"
"390","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","74337","0.0-2.0-0.0-1.8","pjql","auditory","false"
"1127","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","75972","0.0-2.0-0.0-1.9","pjql","auditory","true"
"314","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","76793","0.0-2.0-0.0-1.10","pjql","auditory","true"
"618","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","77918","0.0-2.0-0.0-1.11","pjql","auditory","true"
"508","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","78935","0.0-2.0-0.0-1.12","pjql","auditory","true"
"544","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","79982","0.0-2.0-0.0-1.13","pjql","auditory","true"
"601","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","81092","0.0-2.0-0.0-1.14","pjql","auditory","true"
"640","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","82239","0.0-2.0-0.0-1.15","pjql","auditory","true"
"599.0000000000146","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","91880","0.0-2.0-0.1-1.16","pjql","auditory","true"
"506.99999999998545","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","92893","0.0-2.0-0.1-1.17","pjql","auditory","true"
"654","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","94054","0.0-2.0-0.1-1.18","pjql","auditory","true"
"1898","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","96458","0.0-2.0-0.1-1.19","pjql","auditory","true"
"612","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","97577","0.0-2.0-0.1-1.20","pjql","auditory","true"
"540","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","98624","0.0-2.0-0.1-1.21","pjql","auditory","true"
"526","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","99658","0.0-2.0-0.1-1.22","pjql","auditory","true"
"446","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","100610","0.0-2.0-0.1-1.23","pjql","auditory","true"
"598","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","101715","0.0-2.0-0.1-1.24","pjql","auditory","false"
"695","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","102917","0.0-2.0-0.1-1.25","pjql","auditory","true"
"420.99999999998545","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","56","103846","0.0-2.0-0.1-1.26","pjql","auditory","false"
"936","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","105289","0.0-2.0-0.1-1.27","pjql","auditory","true"
"378.99999999998545","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","106176","0.0-2.0-0.1-1.28","pjql","auditory","true"
"616","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","107299","0.0-2.0-0.1-1.29","pjql","auditory","true"
"946.9999999999854","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","108753","0.0-2.0-0.1-1.30","pjql","auditory","true"
"844.9999999999854","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","110106","0.0-2.0-0.1-1.31","pjql","auditory","true"
