"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"693.2149999774992","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","4701","0.0-2.0-0.0-1.0","36ad","auditory","true"
"411.7000000551343","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","5616","0.0-2.0-0.0-1.1","36ad","auditory","true"
"402.51000004354864","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","6525","0.0-2.0-0.0-1.2","36ad","auditory","true"
"389.68999998178333","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","7417","0.0-2.0-0.0-1.3","36ad","auditory","true"
"423.3300000196323","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","8343","0.0-2.0-0.0-1.4","36ad","auditory","true"
"376.2649999698624","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","9221","0.0-2.0-0.0-1.5","36ad","auditory","true"
"372.99499998334795","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","10097","0.0-2.0-0.0-1.6","36ad","auditory","true"
"370.26500003412366","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","10970","0.0-2.0-0.0-1.7","36ad","auditory","true"
"402.7750000823289","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","11875","0.0-2.0-0.0-1.8","36ad","auditory","true"
"451.6150000272319","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","12829","0.0-2.0-0.0-1.9","36ad","auditory","true"
"386.2199999857694","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","13716","0.0-2.0-0.0-1.10","36ad","auditory","true"
"267.44500000495464","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","14489","0.0-2.0-0.0-1.11","36ad","auditory","true"
"423.80500002764165","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","15414","0.0-2.0-0.0-1.12","36ad","auditory","true"
"380.65500010270625","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","16297","0.0-2.0-0.0-1.13","36ad","auditory","true"
"396.4600000763312","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","17199","0.0-2.0-0.0-1.14","36ad","auditory","true"
"385.9449999872595","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","18090","0.0-2.0-0.0-1.15","36ad","auditory","true"
"522.1049999818206","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","20065","0.0-2.0-0.1-1.16","36ad","auditory","true"
"369.5800000568852","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","20937","0.0-2.0-0.1-1.17","36ad","auditory","true"
"363.454999984242","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","21802","0.0-2.0-0.1-1.18","36ad","auditory","true"
"405.1850000396371","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","42","22709","0.0-2.0-0.1-1.19","36ad","auditory","false"
"507.259999983944","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","23729","0.0-2.0-0.1-1.20","36ad","auditory","true"
"383.30000010319054","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","24614","0.0-2.0-0.1-1.21","36ad","auditory","true"
"424.4200000539422","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","25539","0.0-2.0-0.1-1.22","36ad","auditory","true"
"425.2400000113994","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","26466","0.0-2.0-0.1-1.23","36ad","auditory","true"
"515.2099999831989","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","27483","0.0-2.0-0.1-1.24","36ad","auditory","true"
"396.4299999643117","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","28382","0.0-2.0-0.1-1.25","36ad","auditory","true"
"378.55499994475394","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","29263","0.0-2.0-0.1-1.26","36ad","auditory","true"
"404.2399999452755","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","30169","0.0-2.0-0.1-1.27","36ad","auditory","true"
"442.21999996807426","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","31114","0.0-2.0-0.1-1.28","36ad","auditory","true"
"436.7700000293553","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","32052","0.0-2.0-0.1-1.29","36ad","auditory","true"
"389.93499998468906","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","32943","0.0-2.0-0.1-1.30","36ad","auditory","true"
"492.3299999209121","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","33938","0.0-2.0-0.1-1.31","36ad","auditory","true"
