"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"643.4400000143796","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","39483","0.0-2.0-0.0-1.0","5k5b","auditory","true"
"345.9000000730157","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","40338","0.0-2.0-0.0-1.1","5k5b","auditory","true"
"244.76500018499792","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","7","41092","0.0-2.0-0.0-1.2","5k5b","auditory","false"
"453.5000000614673","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","42058","0.0-2.0-0.0-1.3","5k5b","auditory","true"
"243.4350000694394","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","11","42806","0.0-2.0-0.0-1.4","5k5b","auditory","false"
"434.82499988749623","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","43746","0.0-2.0-0.0-1.5","5k5b","auditory","true"
"321.26499991863966","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","44581","0.0-2.0-0.0-1.6","5k5b","auditory","true"
"242.77999997138977","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","45334","0.0-2.0-0.0-1.7","5k5b","auditory","false"
"463.4699998423457","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","46302","0.0-2.0-0.0-1.8","5k5b","auditory","true"
"336.600000038743","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","47142","0.0-2.0-0.0-1.9","5k5b","auditory","true"
"401.74999996088445","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","48050","0.0-2.0-0.0-1.10","5k5b","auditory","true"
"248.26000002212822","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","25","48801","0.0-2.0-0.0-1.11","5k5b","auditory","false"
"702.1050001494586","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","50012","0.0-2.0-0.0-1.12","5k5b","auditory","true"
"254.81499987654388","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","50776","0.0-2.0-0.0-1.13","5k5b","auditory","true"
"334.0750001370907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","51615","0.0-2.0-0.0-1.14","5k5b","auditory","true"
"415.57499999180436","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","52541","0.0-2.0-0.0-1.15","5k5b","auditory","true"
"426.2850000523031","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","57285","0.0-2.0-0.1-1.16","5k5b","auditory","true"
"360.5200001038611","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","58148","0.0-2.0-0.1-1.17","5k5b","auditory","true"
"392.32000010088086","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","59049","0.0-2.0-0.1-1.18","5k5b","auditory","true"
"467.9149999283254","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","60026","0.0-2.0-0.1-1.19","5k5b","auditory","true"
"370.4800000414252","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","60901","0.0-2.0-0.1-1.20","5k5b","auditory","true"
"316.8200000654906","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","61731","0.0-2.0-0.1-1.21","5k5b","auditory","true"
"414.19999999925494","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","62652","0.0-2.0-0.1-1.22","5k5b","auditory","true"
"388.7650000397116","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","63547","0.0-2.0-0.1-1.23","5k5b","auditory","true"
"280.1000000908971","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","64335","0.0-2.0-0.1-1.24","5k5b","auditory","true"
"255.5350000038743","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","65094","0.0-2.0-0.1-1.25","5k5b","auditory","true"
"280.7549999561161","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","65885","0.0-2.0-0.1-1.26","5k5b","auditory","true"
"245.14999985694885","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","66642","0.0-2.0-0.1-1.27","5k5b","auditory","true"
"275.0600001309067","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","67422","0.0-2.0-0.1-1.28","5k5b","auditory","true"
"208.66500004194677","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","68138","0.0-2.0-0.1-1.29","5k5b","auditory","false"
"326.73999993130565","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","68976","0.0-2.0-0.1-1.30","5k5b","auditory","true"
"348.17499993368983","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","69831","0.0-2.0-0.1-1.31","5k5b","auditory","true"
