"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"732.5099999998201","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","34577","0.0-2.0-0.0-1.0","bwdg","auditory","true"
"652.0949999999139","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","35734","0.0-2.0-0.0-1.1","bwdg","auditory","true"
"592.8850000000239","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","36843","0.0-2.0-0.0-1.2","bwdg","auditory","true"
"570.9099999999162","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","37921","0.0-2.0-0.0-1.3","bwdg","auditory","true"
"252.19000000014785","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","38685","0.0-2.0-0.0-1.4","bwdg","auditory","true"
"262.4200000000128","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","39452","0.0-2.0-0.0-1.5","bwdg","auditory","true"
"275.95500000006723","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","15","40236","0.0-2.0-0.0-1.6","bwdg","auditory","false"
"826.8450000000448","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","41570","0.0-2.0-0.0-1.7","bwdg","auditory","true"
"456.779999999977","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","42538","0.0-2.0-0.0-1.8","bwdg","auditory","true"
"380.65499999993335","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","43422","0.0-2.0-0.0-1.9","bwdg","auditory","true"
"446.14000000001397","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","44389","0.0-2.0-0.0-1.10","bwdg","auditory","true"
"332.2149999999019","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","25","45232","0.0-2.0-0.0-1.11","bwdg","auditory","false"
"1064.6950000000215","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","46804","0.0-2.0-0.0-1.12","bwdg","auditory","true"
"418.16000000017084","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","47729","0.0-2.0-0.0-1.13","bwdg","auditory","true"
"533.9300000000585","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","48776","0.0-2.0-0.0-1.14","bwdg","auditory","true"
"600.214999999931","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","49879","0.0-2.0-0.0-1.15","bwdg","auditory","true"
"1021.5399999997317","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","55813","0.0-2.0-0.1-1.16","bwdg","auditory","true"
"550.8899999999849","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","56872","0.0-2.0-0.1-1.17","bwdg","auditory","true"
"369.8850000000675","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","57751","0.0-2.0-0.1-1.18","bwdg","auditory","true"
"471.76500000023225","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","58733","0.0-2.0-0.1-1.19","bwdg","auditory","true"
"335.4150000000154","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","59575","0.0-2.0-0.1-1.20","bwdg","auditory","true"
"423.91999999972904","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","60504","0.0-2.0-0.1-1.21","bwdg","auditory","true"
"416.00500000004104","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","61426","0.0-2.0-0.1-1.22","bwdg","auditory","true"
"441.4449999999342","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","62379","0.0-2.0-0.1-1.23","bwdg","auditory","true"
"380.5000000002183","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","63268","0.0-2.0-0.1-1.24","bwdg","auditory","true"
"376.5300000000061","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","64156","0.0-2.0-0.1-1.25","bwdg","auditory","true"
"415.4949999997407","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","56","65075","0.0-2.0-0.1-1.26","bwdg","auditory","false"
"581.9499999997788","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","66172","0.0-2.0-0.1-1.27","bwdg","auditory","true"
"397.55500000000757","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","67076","0.0-2.0-0.1-1.28","bwdg","auditory","true"
"390.33500000005006","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","67979","0.0-2.0-0.1-1.29","bwdg","auditory","true"
"378.03500000019267","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","64","68863","0.0-2.0-0.1-1.30","bwdg","auditory","false"
"437.074999999837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","69810","0.0-2.0-0.1-1.31","bwdg","auditory","true"
