"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1368.77000000095","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","25262","0.0-2.0-0.0-1.0","c242","auditory","false"
"821.7050000093877","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","26587","0.0-2.0-0.0-1.1","c242","auditory","true"
"621.6100000019651","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","27714","0.0-2.0-0.0-1.2","c242","auditory","true"
"616.7100000020582","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","28833","0.0-2.0-0.0-1.3","c242","auditory","true"
"605.0649999815505","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","29943","0.0-2.0-0.0-1.4","c242","auditory","true"
"523.9850000070874","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","30973","0.0-2.0-0.0-1.5","c242","auditory","true"
"721.079999988433","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","32197","0.0-2.0-0.0-1.6","c242","auditory","true"
"405.4349999933038","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","33105","0.0-2.0-0.0-1.7","c242","auditory","true"
"374.23000001581386","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","33983","0.0-2.0-0.0-1.8","c242","auditory","true"
"306.349999998929","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","34792","0.0-2.0-0.0-1.9","c242","auditory","true"
"308.3850000111852","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","35604","0.0-2.0-0.0-1.10","c242","auditory","true"
"297.8000000002794","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","36406","0.0-2.0-0.0-1.11","c242","auditory","true"
"286.20000000228174","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","37196","0.0-2.0-0.0-1.12","c242","auditory","false"
"649.7900000249501","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","38349","0.0-2.0-0.0-1.13","c242","auditory","true"
"538.4949999861419","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","39392","0.0-2.0-0.0-1.14","c242","auditory","true"
"514.6750000130851","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","40412","0.0-2.0-0.0-1.15","c242","auditory","true"
"535.3450000111479","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","55093","0.0-2.0-0.1-1.16","c242","auditory","true"
"315.26500001200475","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","55911","0.0-2.0-0.1-1.17","c242","auditory","true"
"458.11500001582317","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","56873","0.0-2.0-0.1-1.18","c242","auditory","true"
"439.87500001094304","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","57818","0.0-2.0-0.1-1.19","c242","auditory","true"
"424.6300000231713","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","44","58749","0.0-2.0-0.1-1.20","c242","auditory","false"
"1022.3100000002887","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","60277","0.0-2.0-0.1-1.21","c242","auditory","true"
"423.4099999885075","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","61204","0.0-2.0-0.1-1.22","c242","auditory","true"
"494.105000019772","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","62203","0.0-2.0-0.1-1.23","c242","auditory","true"
"436.680000013439","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","63146","0.0-2.0-0.1-1.24","c242","auditory","true"
"428.3049999794457","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","64080","0.0-2.0-0.1-1.25","c242","auditory","true"
"444.5399999967776","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","65029","0.0-2.0-0.1-1.26","c242","auditory","true"
"530.4900000046473","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","66065","0.0-2.0-0.1-1.27","c242","auditory","true"
"472.5650000036694","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","67041","0.0-2.0-0.1-1.28","c242","auditory","true"
"320.9250000072643","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","67864","0.0-2.0-0.1-1.29","c242","auditory","true"
"458.72999998391606","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","68827","0.0-2.0-0.1-1.30","c242","auditory","true"
"417.75500000221655","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","69749","0.0-2.0-0.1-1.31","c242","auditory","true"
