"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"711.8849999969825","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","145009","0.0-2.0-0.0-1.0","fc2v","auditory","true"
"628.4699999960139","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","146143","0.0-2.0-0.0-1.1","fc2v","auditory","true"
"499.49499999638647","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","147145","0.0-2.0-0.0-1.2","fc2v","auditory","true"
"442.0599999721162","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","148091","0.0-2.0-0.0-1.3","fc2v","auditory","true"
"283.25999999651685","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","148877","0.0-2.0-0.0-1.4","fc2v","auditory","true"
"382.4799999711104","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","149763","0.0-2.0-0.0-1.5","fc2v","auditory","true"
"354.1799999657087","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","150620","0.0-2.0-0.0-1.6","fc2v","auditory","true"
"306.9849999737926","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","151431","0.0-2.0-0.0-1.7","fc2v","auditory","true"
"339.44000001065433","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","152273","0.0-2.0-0.0-1.8","fc2v","auditory","true"
"373.50500002503395","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","153151","0.0-2.0-0.0-1.9","fc2v","auditory","true"
"402.364999987185","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","23","154057","0.0-2.0-0.0-1.10","fc2v","auditory","true"
"260.2750000078231","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","154822","0.0-2.0-0.0-1.11","fc2v","auditory","false"
"535.7950000325218","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","155861","0.0-2.0-0.0-1.12","fc2v","auditory","true"
"422.6749999797903","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","156785","0.0-2.0-0.0-1.13","fc2v","auditory","true"
"409.7900000051595","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","157697","0.0-2.0-0.0-1.14","fc2v","auditory","true"
"351.4849999919534","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","158550","0.0-2.0-0.0-1.15","fc2v","auditory","true"
"452.3250000202097","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","163915","0.0-2.0-0.1-1.16","fc2v","auditory","true"
"291.29500000271946","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","164711","0.0-2.0-0.1-1.17","fc2v","auditory","true"
"365.3599999961443","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","165580","0.0-2.0-0.1-1.18","fc2v","auditory","true"
"272.6050000055693","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","166357","0.0-2.0-0.1-1.19","fc2v","auditory","true"
"321.57500000903383","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","167184","0.0-2.0-0.1-1.20","fc2v","auditory","true"
"306.0599999735132","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","167996","0.0-2.0-0.1-1.21","fc2v","auditory","true"
"283.53499999502674","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","168783","0.0-2.0-0.1-1.22","fc2v","auditory","true"
"347.01000002678484","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","169633","0.0-2.0-0.1-1.23","fc2v","auditory","true"
"247.8100000298582","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","170385","0.0-2.0-0.1-1.24","fc2v","auditory","true"
"279.14500003680587","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","171167","0.0-2.0-0.1-1.25","fc2v","auditory","false"
"298.0749999987893","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","171970","0.0-2.0-0.1-1.26","fc2v","auditory","true"
"396.660000027623","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","172869","0.0-2.0-0.1-1.27","fc2v","auditory","true"
"238.7299999827519","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","173610","0.0-2.0-0.1-1.28","fc2v","auditory","true"
"224.1599999833852","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","174336","0.0-2.0-0.1-1.29","fc2v","auditory","false"
"274.20000004349276","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","175113","0.0-2.0-0.1-1.30","fc2v","auditory","true"
"282.01999998418614","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","66","175899","0.0-2.0-0.1-1.31","fc2v","auditory","true"
