"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1489.6500000031665","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","126129","0.0-2.0-0.0-1.0","kus2","auditory","true"
"637.8900000127032","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","127285","0.0-2.0-0.0-1.1","kus2","auditory","true"
"605.8000000193715","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","128403","0.0-2.0-0.0-1.2","kus2","auditory","true"
"641.1100000259466","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","129550","0.0-2.0-0.0-1.3","kus2","auditory","true"
"525.5200000246987","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","130583","0.0-2.0-0.0-1.4","kus2","auditory","true"
"548.0049999896437","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","131645","0.0-2.0-0.0-1.5","kus2","auditory","true"
"474.97500001918525","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","132632","0.0-2.0-0.0-1.6","kus2","auditory","true"
"451.91000000340864","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","133591","0.0-2.0-0.0-1.7","kus2","auditory","true"
"455.2350000012666","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","134552","0.0-2.0-0.0-1.8","kus2","auditory","true"
"511.8099999963306","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","135578","0.0-2.0-0.0-1.9","kus2","auditory","true"
"473.70000003138557","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","136571","0.0-2.0-0.0-1.10","kus2","auditory","true"
"585.0550000322983","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","137663","0.0-2.0-0.0-1.11","kus2","auditory","true"
"523.6350000486709","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","138701","0.0-2.0-0.0-1.12","kus2","auditory","true"
"469.5300000021234","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","139677","0.0-2.0-0.0-1.13","kus2","auditory","true"
"495.5900000059046","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","140683","0.0-2.0-0.0-1.14","kus2","auditory","true"
"411.89499996835366","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","141615","0.0-2.0-0.0-1.15","kus2","auditory","true"
"410.88500001933426","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","146349","0.0-2.0-0.1-1.16","kus2","auditory","true"
"463.3599999942817","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","147321","0.0-2.0-0.1-1.17","kus2","auditory","true"
"418.47500001313165","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","148257","0.0-2.0-0.1-1.18","kus2","auditory","true"
"479.73999998066574","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","149245","0.0-2.0-0.1-1.19","kus2","auditory","true"
"517.3949999734759","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","150275","0.0-2.0-0.1-1.20","kus2","auditory","true"
"435.094999964349","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","151227","0.0-2.0-0.1-1.21","kus2","auditory","true"
"488.10999997658655","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","152225","0.0-2.0-0.1-1.22","kus2","auditory","true"
"460.01999999862164","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","153197","0.0-2.0-0.1-1.23","kus2","auditory","true"
"434.0550000197254","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","154141","0.0-2.0-0.1-1.24","kus2","auditory","true"
"531.5349999582395","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","155179","0.0-2.0-0.1-1.25","kus2","auditory","true"
"504.88000002224","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","156192","0.0-2.0-0.1-1.26","kus2","auditory","true"
"547.8000000002794","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","157245","0.0-2.0-0.1-1.27","kus2","auditory","true"
"448.93000001320615","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","158206","0.0-2.0-0.1-1.28","kus2","auditory","true"
"475.1549999928102","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","159193","0.0-2.0-0.1-1.29","kus2","auditory","true"
"399.30999994976446","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","160097","0.0-2.0-0.1-1.30","kus2","auditory","true"
"456.0899999924004","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","161061","0.0-2.0-0.1-1.31","kus2","auditory","true"
