"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"559.6249999944121","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","65468","0.0-2.0-0.0-1.0","s0vp","auditory","false"
"628.4649999870453","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","5","66599","0.0-2.0-0.0-1.1","s0vp","auditory","false"
"378.98999999742955","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","67482","0.0-2.0-0.0-1.2","s0vp","auditory","true"
"563.4750000026543","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","68547","0.0-2.0-0.0-1.3","s0vp","auditory","true"
"376.47499999729916","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","69430","0.0-2.0-0.0-1.4","s0vp","auditory","true"
"479.99000002164394","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","70413","0.0-2.0-0.0-1.5","s0vp","auditory","true"
"490.7250000105705","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","71406","0.0-2.0-0.0-1.6","s0vp","auditory","true"
"338.13499999814667","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","72249","0.0-2.0-0.0-1.7","s0vp","auditory","true"
"509.2200000071898","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","73263","0.0-2.0-0.0-1.8","s0vp","auditory","true"
"318.345000006957","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","74083","0.0-2.0-0.0-1.9","s0vp","auditory","true"
"324.43499998771586","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","74911","0.0-2.0-0.0-1.10","s0vp","auditory","true"
"308.47499999799766","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","75723","0.0-2.0-0.0-1.11","s0vp","auditory","true"
"243.55499999364838","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","27","76468","0.0-2.0-0.0-1.12","s0vp","auditory","false"
"419.659999985015","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","77391","0.0-2.0-0.0-1.13","s0vp","auditory","true"
"585.9599999967031","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","78479","0.0-2.0-0.0-1.14","s0vp","auditory","true"
"441.7350000003353","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","79423","0.0-2.0-0.0-1.15","s0vp","auditory","true"
"458.59000002383254","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","83206","0.0-2.0-0.1-1.16","s0vp","auditory","true"
"384.779999993043","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","84093","0.0-2.0-0.1-1.17","s0vp","auditory","true"
"389.324999996461","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","84986","0.0-2.0-0.1-1.18","s0vp","auditory","true"
"480.9899999818299","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","42","85972","0.0-2.0-0.1-1.19","s0vp","auditory","true"
"312.60499998461455","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","86786","0.0-2.0-0.1-1.20","s0vp","auditory","true"
"373.3000000065658","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","87663","0.0-2.0-0.1-1.21","s0vp","auditory","true"
"542.0049999956973","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","88707","0.0-2.0-0.1-1.22","s0vp","auditory","true"
"562.579999997979","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","89773","0.0-2.0-0.1-1.23","s0vp","auditory","true"
"346.12999999080785","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","90621","0.0-2.0-0.1-1.24","s0vp","auditory","true"
"369.0649999771267","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","91493","0.0-2.0-0.1-1.25","s0vp","auditory","true"
"334.29500000784174","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","92328","0.0-2.0-0.1-1.26","s0vp","auditory","true"
"458.6199999903329","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","93293","0.0-2.0-0.1-1.27","s0vp","auditory","true"
"367.4450000107754","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","60","94162","0.0-2.0-0.1-1.28","s0vp","auditory","false"
"490.6949999858625","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","95157","0.0-2.0-0.1-1.29","s0vp","auditory","true"
"448.22500000009313","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","96108","0.0-2.0-0.1-1.30","s0vp","auditory","true"
"492.0599999895785","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","97106","0.0-2.0-0.1-1.31","s0vp","auditory","true"
