"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"3545.319999997446","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","30923","0.0-2.0-0.0-1.0","wkay","auditory","true"
"829.6249999984866","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","32262","0.0-2.0-0.0-1.1","wkay","auditory","true"
"1228.1549999970593","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","34007","0.0-2.0-0.0-1.2","wkay","auditory","true"
"1554.5000000056461","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","36071","0.0-2.0-0.0-1.3","wkay","auditory","true"
"660.5649999983143","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","37248","0.0-2.0-0.0-1.4","wkay","auditory","true"
"386.5100000039092","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","38139","0.0-2.0-0.0-1.5","wkay","auditory","true"
"570.1400000034482","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","39221","0.0-2.0-0.0-1.6","wkay","auditory","true"
"537.3999999937951","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","40273","0.0-2.0-0.0-1.7","wkay","auditory","true"
"425.1399999993737","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","41205","0.0-2.0-0.0-1.8","wkay","auditory","true"
"1312.434999999823","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","43027","0.0-2.0-0.0-1.9","wkay","auditory","true"
"539.9949999991804","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","44081","0.0-2.0-0.0-1.10","wkay","auditory","true"
"346.9249999980093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","44936","0.0-2.0-0.0-1.11","wkay","auditory","true"
"465.68999999726657","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","45907","0.0-2.0-0.0-1.12","wkay","auditory","true"
"711.5350000021863","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","47122","0.0-2.0-0.0-1.13","wkay","auditory","true"
"532.9850000052829","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","48172","0.0-2.0-0.0-1.14","wkay","auditory","true"
"518.3899999974528","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","49202","0.0-2.0-0.0-1.15","wkay","auditory","true"
"527.5600000022678","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","52000","0.0-2.0-0.1-1.16","wkay","auditory","true"
"473.79499999806285","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","52983","0.0-2.0-0.1-1.17","wkay","auditory","true"
"524.1400000013527","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","54022","0.0-2.0-0.1-1.18","wkay","auditory","true"
"484.6599999946193","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","42","55018","0.0-2.0-0.1-1.19","wkay","auditory","true"
"443.24999999662396","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","55970","0.0-2.0-0.1-1.20","wkay","auditory","true"
"499.5100000014645","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","56975","0.0-2.0-0.1-1.21","wkay","auditory","true"
"571.2599999969825","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","58051","0.0-2.0-0.1-1.22","wkay","auditory","true"
"504.7500000000582","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","59073","0.0-2.0-0.1-1.23","wkay","auditory","true"
"533.7100000033388","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","60124","0.0-2.0-0.1-1.24","wkay","auditory","true"
"545.4749999989872","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","61184","0.0-2.0-0.1-1.25","wkay","auditory","true"
"468.6749999964377","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","62158","0.0-2.0-0.1-1.26","wkay","auditory","true"
"530.0649999990128","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","63201","0.0-2.0-0.1-1.27","wkay","auditory","true"
"416.57000000122935","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","64136","0.0-2.0-0.1-1.28","wkay","auditory","true"
"493.8850000035018","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","65134","0.0-2.0-0.1-1.29","wkay","auditory","true"
"488.5599999979604","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","66137","0.0-2.0-0.1-1.30","wkay","auditory","true"
"469.65500000078464","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","67111","0.0-2.0-0.1-1.31","wkay","auditory","true"
